Model,Question,Question Type,Expected Answer,BLEU,ROUGE-L,F1,BERTScore (F1),Semantic Sim,Recall@5,Faithfulness,Answer Length,Time to First Token (s),Tokens per Second,Total Time (s),Peak Memory (MB)
BF16,"Between 'Cybersecurity Fundamentals' and 'Getting Started with Cybersecurity', which takes more time?",comparative,'Cybersecurity Fundamentals' takes more time with 7.5 hours compared to 3 hours.,0.0,0.4444444444444444,56.86274509803922,0.9241056640942892,0.9102371,0.0,0.43465546,22.0,5.041666666666667,3.0986666666666665,15.45209296544393,5555.46
BF16,How long does the course 'Artificial Intelligence Fundamentals' take to complete?,factual,10+ hours,0.0,0.10531178952231583,11.77149647737883,0.845423698425293,0.3843309,1.0,0.46900868,35.666666666666664,5.761,2.7383333333333333,18.239802757898968,5549.816666666666
BF16,Is 'Journey to Cloud: Orchestrating Your Solution' longer than 'Journey to Cloud: Envisioning Your Solution'?,comparative,"Yes, 'Journey to Cloud: Orchestrating Your Solution' is 20+ hours, while 'Journey to Cloud: Envisioning Your Solution' is 5 hours.",0.44342412781476526,0.6623931623931624,82.28334812185744,0.9652079145113627,0.96127695,0.0,0.3689219,29.333333333333332,4.689666666666667,3.0796666666666668,17.01148573557536,5547.09
BF16,What is the ISBN number of the textbook used in the 'Data Fundamentals' course?,unanswerable,N/A,0.0,0.037065637065637064,0.0,0.7728904287020365,0.004006326,0.0,0.361272,33.0,5.153333333333333,2.7419999999999995,15.870211203893026,5548.176666666666
BF16,What is the cost of the 'Artificial Intelligence Fundamentals' course?,unanswerable,N/A,0.0,0.0,0.0,0.772576113541921,-0.049457815,0.0,0.37702298,28.333333333333332,5.551666666666667,2.626,15.188982009887695,5546.546666666666
BF16,What is the credential area of the course 'Getting Started with Cybersecurity'?,factual,Cybersecurity,0.0,0.05555555555555556,6.25,0.8284324208895365,0.67676383,1.0,0.75633,35.0,5.002666666666667,2.896666666666667,16.23382592201233,5552.413333333334
BF16,What is the total duration of the course 'Build Your First Chatbot Using IBM watsonx™'?,factual,60 minutes total course time,0.0,0.1286231884057971,19.35733643050716,0.8417083621025085,0.3634218,1.0,0.6998212,40.666666666666664,14.494,2.0003333333333333,29.85446294148763,5546.32
BF16,Which course discusses both cybersecurity threat intelligence and hands-on learning activities?,multi-hop,Getting Started with Threat Intelligence and Hunting,0.10108460096872622,0.28418803418803423,28.98148148148148,0.8880548675855001,0.80830306,1.0,0.5902228,41.333333333333336,4.948,2.982666666666667,17.87678035100301,5545.113333333334
BF16,Which course explains the CIA triad and concepts of data privacy?,multi-hop,Getting Started with Cybersecurity,0.0,0.08590325018896448,7.652599648768027,0.8690781593322754,0.6168959,1.0,0.57536894,40.666666666666664,4.5840000000000005,3.1956666666666664,18.135013898213703,5553.670000000001
BF16,Which course in the AI category involves hands-on simulation and uses IBM watsonx for chatbot creation?,multi-hop,Build Your First Chatbot Using IBM watsonx™,0.1012265574992234,0.33875338753387535,27.868658131816023,0.8931118448575338,0.8371022,0.0,0.76265,33.0,4.441333333333334,3.017333333333333,17.128241221110027,5544.906666666667
