Model,Question,Question Type,Expected Answer,Generated Answer,BLEU,ROUGE-L,F1,BERTScore (F1),Semantic Sim,Recall@5,Faithfulness,Answer Length,Time to First Token (s),Tokens per Second,Total Time (s),Peak Memory (MB)
BF16,What is the total duration of the course 'Build Your First Chatbot Using IBM watsonx™'?,factual,60 minutes total course time,The total duration of the course 'Build Your First Chatbot Using IBM watsonx™' is 60 minutes. This course covers creating conversational chatbots and applying Natural Language Processing. It includes a hands-on simulation using IBM watsonx to develop a simple chatbot.,0.0,0.13043478260869565,19.51219512195122,0.842524528503418,0.36328298,1.0,0.7001102,40,14.301,1.968,30.012176036834717,5537.86
BF16,Which course introduces the fundamentals of text-to-speech technology using IBM watsonx?,factual,Explore Text to Speech Using IBM watson®,The course titled “Explore Text to Speech Using IBM watson” introduces the fundamentals of text-to-speech technology. It utilizes a hands-on simulation with IBM watsonx to teach you how to create and refine AI-powered voice systems. This course is designed for registered learners and covers the basics of TTS technology.,0.0655556926587826,0.23333333333333334,19.230769230769234,0.8691098690032959,0.76474893,0.0,0.77504075,49,4.858,3.143,21.46077537536621,5538.75
BF16,What is the credential area of the course 'Getting Started with Cybersecurity'?,factual,Cybersecurity,The credential area of the course ‘Getting Started with Cybersecurity’ is Cybersecurity. It demonstrates a foundational understanding of cybersecurity key elements and threats. This course covers concepts like data privacy and the CIA triad model.,0.0,0.05555555555555556,6.25,0.8279625177383423,0.68042266,1.0,0.76935023,35,4.977,2.97,15.783392667770386,5544.89
BF16,Which course teaches you how to classify data using IBM Granite models?,factual,Classifying Data Using IBM Granite,The course titled “Classifying Data Using IBM Granite” teaches you how to classify data using IBM Granite models. It covers selecting a model and examining prompts for text-based data. This course is designed for registered learners and takes approximately 60 minutes to complete.,0.0,0.20408163265306123,17.39130434782609,0.8702322840690613,0.8565905,1.0,0.6338137,43,4.46,3.064,17.965123653411865,5538.69
BF16,How long does the course 'Artificial Intelligence Fundamentals' take to complete?,factual,10+ hours,"The ""Artificial Intelligence Fundamentals"" course has a duration of 10+ hours. This course demonstrates knowledge of AI concepts like natural language processing and machine learning. Unfortunately, the exact completion time is not specified in the provided context.",0.0,0.10256410256410257,11.428571428571429,0.8478417992591858,0.35321432,1.0,0.5083362,37,5.67,2.863,17.824283838272095,5539.23
BF16,Which course in the AI category involves hands-on simulation and uses IBM watsonx for chatbot creation?,multi-hop,Build Your First Chatbot Using IBM watsonx™,"The course titled ""Build Your First Chatbot Using IBM watsonx” involves hands-on simulation. It teaches you how to create chatbots using IBM watsonx. Through a simulation, you can generate code with simple prompts.",0.11939514264497722,0.34146341463414637,31.57894736842105,0.8977745771408081,0.8438723,0.0,0.74348474,33,4.356,2.862,17.587103843688965,5539.09
BF16,Which course discusses both cybersecurity threat intelligence and hands-on learning activities?,multi-hop,Getting Started with Threat Intelligence and Hunting,"The ""Getting Started with Threat Intelligence and Hunting"" course discusses both cybersecurity threat intelligence and hands-on learning activities. It includes concepts, methods, and tools related to the threat intelligence and hunting domain. This course provides an experience focused on practical application alongside theoretical knowledge.",0.10878661088699644,0.2692307692307693,29.166666666666668,0.8862570524215698,0.80896395,1.0,0.59096503,44,4.985,3.039,18.41669511795044,5539.05
BF16,Which course includes learning about both prompt engineering and career pathways in generative AI?,multi-hop,Generative AI in Action,The “Use Generative AI for Software Development” course includes learning about prompt engineering and explores career pathways in the domain. It also covers AI ethics and the job outlook for AI-related roles. This course provides a practical understanding of generative AI applications and skills needed for success.,0.0,0.11538461538461539,12.76595744680851,0.8262191414833069,0.48454356,1.0,0.6621897,47,4.43,3.211,18.503824949264526,5540.85
BF16,Which course teaches how to switch programming languages and fix code using AI tools?,multi-hop,Use Generative AI for Software Development Using IBM watsonx™,"The “Use Generative AI for Software Development” course teaches how to switch programming languages and fix code using AI tools. It covers using IBM watsonx to generate code and address coding issues. Additionally, you’ll gain skills in chatbots and applying AI to real-world scenarios.",0.05034460682273034,0.32727272727272727,23.076923076923077,0.893307626247406,0.8193333,0.0,0.748386,44,4.799,3.138,19.13396954536438,5541.39
BF16,Which course explains the CIA triad and concepts of data privacy?,multi-hop,Getting Started with Cybersecurity,"The “Cybersecurity Fundamentals” course explains cybersecurity concepts, including cyber threat groups and overall cyber security risk management strategies. It also covers cryptography and common approaches to prevent cyber attacks. Furthermore, this course outlines the CIA triad and concepts of data privacy.",0.0,0.04444444444444444,4.651162790697674,0.8625282645225525,0.57847023,1.0,0.630023,41,4.602,3.156,17.747663974761963,5549.63
