Model,Question,Question Type,Expected Answer,Generated Answer,BLEU,ROUGE-L,F1,BERTScore (F1),Semantic Sim,Recall@5,Faithfulness,Answer Length,Time to First Token (s),Tokens per Second,Total Time (s),Peak Memory (MB)
BF16,What is the total duration of the course 'Build Your First Chatbot Using IBM watsonx™'?,factual,60 minutes total course time,The total duration of the course 'Build Your First Chatbot Using IBM watsonx™' is 60 minutes. This course covers creating conversational chatbots and the fundamentals of Natural Language Processing. It includes a hands-on simulation using IBM watsonx to build a simple chatbot.,0.0,0.125,19.047619047619047,0.8410751819610596,0.36009026,1.0,0.70628536,42,14.587,2.003,30.46745753288269,5547.5
BF16,Which course introduces the fundamentals of text-to-speech technology using IBM watsonx?,factual,Explore Text to Speech Using IBM watson®,"The course titled ""Explore Text to Speech Using IBM watson” introduces the fundamentals of text-to-speech technology. It utilizes a hands-on simulation with IBM watsonx to teach you how to create and refine AI-powered voice systems. This course is designed for registered learners and covers the basics of TTS technology.",0.08460008059515839,0.23333333333333334,23.076923076923077,0.867892861366272,0.76798373,0.0,0.7772572,49,4.631,3.159,21.452598571777344,5557.81
BF16,What is the credential area of the course 'Getting Started with Cybersecurity'?,factual,Cybersecurity,The credential area of the course ‘Getting Started with Cybersecurity’ is Cybersecurity. This course provides a foundational understanding of cybersecurity key elements and threats. It covers topics like data privacy and the CIA triad model.,0.0,0.05555555555555556,6.25,0.8275904655456543,0.6706347,1.0,0.74030983,35,4.958,2.774,16.894314289093018,5557.3
BF16,Which course teaches you how to classify data using IBM Granite models?,factual,Classifying Data Using IBM Granite,The course titled “Classifying Data Using IBM Granite” teaches you how to classify data using IBM Granite models. It covers selecting a model and examining various prompts for text-based data. This course is designed for registered learners and takes approximately 60 minutes to complete.,0.0,0.19999999999999998,17.02127659574468,0.8689164519309998,0.8577484,1.0,0.63557833,44,4.414,3.078,18.242897510528564,5550.55
BF16,How long does the course 'Artificial Intelligence Fundamentals' take to complete?,factual,10+ hours,"The ""Artificial Intelligence Fundamentals"" course takes 10+ hours to complete. It demonstrates knowledge of various AI concepts like natural language processing and machine learning. However, the exact duration isn’t specified in the provided context.",0.0,0.1081081081081081,12.121212121212121,0.8445278406143188,0.41262364,1.0,0.42145675,34,5.923,2.755,17.754646062850952,5553.73
BF16,Which course in the AI category involves hands-on simulation and uses IBM watsonx for chatbot creation?,multi-hop,Build Your First Chatbot Using IBM watsonx™,The “Build Your First Chatbot Using IBM watsonx” course involves hands-on simulation. This course utilizes IBM watsonx to generate code through simple prompts. It focuses on creating conversational chatbots using Natural Language Processing (NLP).,0.08829928855463526,0.33333333333333337,25.0,0.8884815573692322,0.82177126,0.0,0.8066821,34,4.522,3.185,16.905911445617676,5548.25
BF16,Which course discusses both cybersecurity threat intelligence and hands-on learning activities?,multi-hop,Getting Started with Threat Intelligence and Hunting,"The “Getting Started with Threat Intelligence and Hunting” course discusses both cybersecurity threat intelligence and hands-on learning activities. It includes concepts, methods, and tools related to the threat intelligence and hunting domain. This course offers practical experience alongside theoretical knowledge.",0.07611137668875849,0.2916666666666667,26.666666666666668,0.8885222673416138,0.80583054,1.0,0.59551454,40,4.938,2.951,17.615992784500122,5548.55
BF16,Which course includes learning about both prompt engineering and career pathways in generative AI?,multi-hop,Generative AI in Action,The “Use Generative AI for Software Development” course includes learning about prompt engineering and career pathways in generative AI. It also covers AI ethics and the job outlook in AI-related fields. This course provides a chance to practice using IBM watsonx to generate code.,0.0,0.12244897959183675,13.333333333333334,0.8260139226913452,0.50651515,1.0,0.65454054,44,4.396,2.929,19.907936573028564,5555.66
BF16,Which course teaches how to switch programming languages and fix code using AI tools?,multi-hop,Use Generative AI for Software Development Using IBM watsonx™,"The “Use Generative AI for Software Development” course teaches how to switch programming languages and fix code using AI tools. It covers techniques like machine learning and deep learning to assist with code modification. Additionally, the course utilizes IBM watsonx for generating code and fixing issues.",0.04826741258911655,0.32727272727272727,22.641509433962263,0.8953690528869629,0.7628901,0.0,0.69544005,46,4.802,3.164,18.756969928741455,5556.35
BF16,Which course explains the CIA triad and concepts of data privacy?,multi-hop,Getting Started with Cybersecurity,"The ""Cybersecurity Fundamentals"" course explains cybersecurity concepts, objectives, and practices. It covers topics like cyber threat groups, attacks, and risk management strategies. Specifically, this course details the CIA triad and common approaches to prevent cyber attacks.",0.0,0.049999999999999996,5.263157894736842,0.8609569072723389,0.61233044,1.0,0.53431803,36,4.553,3.257,16.71860122680664,5556.26
